N,kappa,Om,aO,reGa,imGa,psi,ok
5,0.6421404682274248,1.286790942484999,-201.4136983530257,0.442829604889447,-0.02671510373813753,0.060328179153259165,True
5,0.6421404682274248,1.2940758183876095,-394.3419264906822,0.4487598162236717,-0.027692837880381148,0.061709709468680304,True
5,0.07023411371237459,1.2534405491641958,274.6906797010395,-2.3743617760812685,-0.5399023425868071,0.22738840728723372,True
5,0.07023411371237459,1.2438044998406403,329.52157249729885,-2.523991376780203,-0.6052284616163561,0.23979022558644078,True
5,0.15551839464882944,1.4213842670105674,207.90387692259938,-1.6948880119180236,-0.2929415469127503,0.1728382907029016,True
5,0.15551839464882944,1.408998951047081,181.32726338215832,-1.8440522177568124,-0.3521155794275086,0.1909466424198322,True
5,0.3662207357859532,1.334149310322793,-81.67745464138231,0.6449703398040154,-0.07197122016935138,0.11158841845536803,True
5,0.3662207357859532,1.3421852215779453,-188.05697376833575,0.6638392033686183,-0.07731972746362278,0.11647357834738857,True
5,0.9331103678929766,2.2779284143937026,246.41292150628934,-1.3916094639112033,-0.4032680893951632,0.289785388683513,True
5,0.9331103678929766,2.2647491741903982,-15.79392217565534,-1.5597495703042332,-0.525355554113012,0.3368204512539408,False
5,0.08528428093645485,1.2197655405533723,117.93851108325704,-3.531357263843297,-0.5074982919850352,0.14371196513623416,True
5,0.08528428093645485,1.211879580802119,147.09120969708113,-3.812850897372269,-0.5889058919286075,0.15445290355688135,True
5,0.1705685618729097,1.499933341037836,958.2530756530039,-1.287260489152828,-0.10566955570628671,0.08208871211127591,True
5,0.1705685618729097,1.4960427628043624,1269.326098526924,-1.3089605954053638,-0.1092275964452132,0.08344605393670172,True
5,0.4464882943143813,1.3452790799287124,-99.12273719325792,0.7305188141041438,-0.06079614830986463,0.08322324782890184,True
5,0.4464882943143813,1.3555684307867502,-463.2484543576343,0.7592227461030815,-0.0671160172838467,0.08840095693699646,True
5,0.4866220735785953,2.506770728343027,132950.42348131503,-0.27200633991915024,-0.008572299560227186,0.03151507263681858,True
5,0.4866220735785953,2.5047228493105136,228399.6847276093,-0.27280544399944356,-0.00861979441793939,0.03159685632210833,True
5,0.637123745819398,2.175361965103909,2665.3850347391203,-0.6039884309464465,-0.03924226277835894,0.06497187821439979,True
5,0.637123745819398,2.1696767025565924,3809.4329508520095,-0.6155664304646016,-0.04072056883461668,0.06615137996378823,True
5,0.33612040133779264,1.475897179042824,144.5552060358457,-2.0089297031439615,-0.5498254521114272,0.2736907375359895,True
5,0.33612040133779264,1.4622035232951143,-5.689415340237591,-2.241624669488908,-0.7214235207627598,0.32183064836061287,False
5,0.35618729096989965,1.8042464665876055,6133.435479349636,-0.6255274016118546,-0.0505350112996185,0.08078784585519394,True
5,0.35618729096989965,1.7993113531416713,10918.828150197069,-0.6338240329697447,-0.05146262853061991,0.08119387377833377,True
5,0.5568561872909699,1.9960655704079397,4877.056633978416,-0.5826151444278239,-0.04814991890252694,0.08264446841630615,True
5,0.5568561872909699,1.9902313480046518,8085.963058368506,-0.5932862507402386,-0.05034225549188956,0.08485323135177653,True
5,0.6020066889632107,1.6113404502191948,-171.0881083666349,0.13253911932159934,-0.18035431964660883,1.3607629247104651,True
5,0.6020066889632107,1.6133979510964394,-209.46361087292863,0.14184474213268827,-0.18634462384236253,1.3137224619016683,True
5,0.8127090301003345,1.3206606090536999,-155.89853362141247,0.5090068517891904,-0.03255849445165136,0.06396474691294676,True
5,0.8127090301003345,1.32899594138374,-359.9419897692968,0.5191174243367661,-0.03418391319397715,0.06585005933416922,True
5,0.411371237458194,1.534708328888954,741.5538690158652,-1.0825950286892443,-0.13488813914439743,0.12459704281823067,True
5,0.411371237458194,1.5251101231425448,1229.6524616817183,-1.1221222911423918,-0.14371307872906733,0.128072563804751,True
5,0.4866220735785953,1.9089109765439036,6617.215830706513,-0.47031440709265926,-0.03440782507928604,0.07315919852845836,True
5,0.4866220735785953,1.9027714210821534,11700.026313077316,-0.4775268744529019,-0.03485859021871584,0.07299817472818258,True
5,1.0635451505016722,1.9515748229015104,4759.542225962754,-0.5340576613030453,-0.06392638284445727,0.1196994022864189,True
